training/avg_reward,x_axis/optimization_steps,x_axis/samples_seen,x_axis/samples_collected,x_axis/epochs,training/pg_loss,training/v_loss,training/entropy,training/approx_kl,training/clipfrac,training/grad_norm,training/ent_coef,training/PPD_loss,training/SPS,training/n_better_episodes,training/learning_rate,iteration,global_step,Test/Episode Reward Student on OD test,Test/Mean entropy Student on OD test
-99.76209782042586,1400.0,322560.0,80640.0,70.0,0.03361809626221657,186.31639099121094,-0.6342422366142273,0.18378642201423645,0.6078125,2292.977294921875,0.0,9.888039588928223,233.0,0.0,0.0003,70,80640,,
-107.32169201776463,1420.0,327168.0,81792.0,71.0,0.023045383393764496,239.52700805664062,-0.6308717727661133,0.04376287758350372,0.2263671875,2636.68701171875,0.0,9.654781341552734,232.0,0.0,0.0003,71,81792,,
,1440.0,331776.0,82944.0,72.0,0.017826609313488007,26.952924728393555,-0.6286797523498535,0.06006135419011116,0.2857421875,215.8645477294922,0.0,9.098531723022461,232.0,0.0,0.0003,72,82944,,
-103.0079251047275,1460.0,336384.0,84096.0,73.0,0.027856118977069855,162.25662231445312,-0.6302490234375,0.07271890342235565,0.315234375,3838.79541015625,0.0,9.428457260131836,232.0,0.0,0.0003,73,84096,,
,1480.0,340992.0,85248.0,74.0,0.0024384334683418274,26.282508850097656,-0.6302653551101685,0.055040277540683746,0.29609375,190.18179321289062,0.0,9.973814964294434,231.0,0.0,0.0003,74,85248,,
-100.88335625813107,1500.0,345600.0,86400.0,75.0,0.042657628655433655,342.83062744140625,-0.6498186588287354,0.08114977926015854,0.379296875,5311.130859375,0.0,9.695934295654297,231.0,0.0,0.0003,75,86400,,
,,,,,,,,,,,,,,,,75,86400,-65.83026015002756,-0.7075993
-99.85234539939323,1520.0,350208.0,87552.0,76.0,-0.0071254912763834,179.72128295898438,-0.6515897512435913,0.03317774087190628,0.195703125,1764.7506103515625,0.0,9.521858215332031,207.0,0.0,0.0003,76,87552,,
,1540.0,354816.0,88704.0,77.0,0.014911336824297905,28.76020050048828,-0.6577696204185486,0.059267304837703705,0.305859375,364.7614440917969,0.0,9.352713584899902,207.0,0.0,0.0003,77,88704,,
-99.68958133228514,1560.0,359424.0,89856.0,78.0,0.007300339639186859,308.2044677734375,-0.6572256684303284,0.021349530667066574,0.203125,5470.900390625,0.0,9.591012954711914,207.0,0.0,0.0003,78,89856,,
-99.9190107252345,1580.0,364032.0,91008.0,79.0,0.00844622403383255,412.8939208984375,-0.6579476594924927,0.018676646053791046,0.0767578125,5704.67578125,0.0,10.045458793640137,207.0,0.0,0.0003,79,91008,,
,1600.0,368640.0,92160.0,80.0,0.024164803326129913,16.875736236572266,-0.7011257410049438,0.08920200169086456,0.30078125,129.372314453125,0.0,8.542211532592773,209.0,0.0,0.0003,80,92160,,
-97.90603882336818,1620.0,373248.0,93312.0,81.0,0.010747259482741356,156.8363037109375,-0.7198426127433777,0.05513082444667816,0.416796875,1960.384033203125,0.0,9.949325561523438,209.0,0.0,0.0003,81,93312,,
,1640.0,377856.0,94464.0,82.0,-0.000891759991645813,29.388328552246094,-0.6616690754890442,0.13571056723594666,0.3365234375,406.8236083984375,0.0,12.059597969055176,210.0,0.0,0.0003,82,94464,,
-101.67849852402634,1660.0,382464.0,95616.0,83.0,0.019580544903874397,160.7496795654297,-0.6418811678886414,0.028163135051727295,0.15390625,1684.7921142578125,0.0,9.15455436706543,209.0,0.0,0.0003,83,95616,,
-100.85209684407168,1680.0,387072.0,96768.0,84.0,-0.006835170090198517,230.60861206054688,-0.6353552341461182,0.0404360368847847,0.1126953125,1900.9141845703125,0.0,9.528846740722656,210.0,0.0,0.0003,84,96768,,
,1700.0,391680.0,97920.0,85.0,0.001477159559726715,26.753761291503906,-0.6248661279678345,0.022648829966783524,0.2912109375,270.65087890625,0.0,9.823144912719727,211.0,0.0,0.0003,85,97920,,
-99.29274683256972,1720.0,396288.0,99072.0,86.0,0.015860803425312042,234.47836303710938,-0.6141654253005981,0.03685052692890167,0.5193359375,2035.6568603515625,0.0,9.623781204223633,212.0,0.0,0.0003,86,99072,,
-103.71657463475785,1740.0,400896.0,100224.0,87.0,-0.01979411393404007,280.3577880859375,-0.6182782053947449,0.04754765331745148,0.333984375,328.6075134277344,0.0,10.339408874511719,214.0,0.0,0.0003,87,100224,,
,1760.0,405504.0,101376.0,88.0,-0.013071253895759583,27.75574493408203,-0.6276558637619019,0.05718741565942764,0.239453125,889.4286499023438,0.0,9.757259368896484,215.0,0.0,0.0003,88,101376,,
-105.68375622015085,1780.0,410112.0,102528.0,89.0,0.007378220558166504,435.90155029296875,-0.6364420652389526,0.011574214324355125,0.199609375,1561.166015625,0.0,9.216094970703125,217.0,0.0,0.0003,89,102528,,
-100.08025879381601,1800.0,414720.0,103680.0,90.0,0.004048559814691544,343.00531005859375,-0.6304092407226562,0.03989817947149277,0.1244140625,6273.37939453125,0.0,9.280357360839844,218.0,0.0,0.0003,90,103680,,
,1820.0,419328.0,104832.0,91.0,0.021941930055618286,27.429092407226562,-0.634221076965332,0.03215130418539047,0.212109375,3264.16162109375,0.0,9.402931213378906,219.0,0.0,0.0003,91,104832,,
-99.15572833015372,1840.0,423936.0,105984.0,92.0,-0.009240198880434036,216.15194702148438,-0.6417893171310425,0.026728417724370956,0.298828125,3958.44287109375,0.0,10.640037536621094,221.0,0.0,0.0003,92,105984,,
,1860.0,428544.0,107136.0,93.0,-0.016452785581350327,37.706703186035156,-0.6540780067443848,0.05607623606920242,0.2970703125,227.1119384765625,0.0,9.764602661132812,222.0,0.0,0.0003,93,107136,,
-104.89115664084697,1880.0,433152.0,108288.0,94.0,0.04635079950094223,232.62208557128906,-0.6420267820358276,0.11509682238101959,0.3974609375,2848.427734375,0.0,9.056134223937988,223.0,0.0,0.0003,94,108288,,
-100.97480707248764,1900.0,437760.0,109440.0,95.0,-0.0020342543721199036,281.44610595703125,-0.6456716656684875,0.027355484664440155,0.0775390625,1555.595703125,0.0,8.819522857666016,225.0,0.0,0.0003,95,109440,,
,1920.0,442368.0,110592.0,96.0,0.024640832096338272,24.36008071899414,-0.6657752394676208,0.03391526639461517,0.2306640625,123.5858383178711,0.0,8.878355979919434,226.0,0.0,0.0003,96,110592,,
-99.73076856519096,1940.0,446976.0,111744.0,97.0,0.015825167298316956,351.2294921875,-0.6735444068908691,0.04455249756574631,0.2994140625,5722.03076171875,0.0,9.152719497680664,227.0,0.0,0.0003,97,111744,,
-98.38332756001316,1960.0,451584.0,112896.0,98.0,0.008074559271335602,344.4084167480469,-0.6786569356918335,0.02229088731110096,0.1015625,2082.096923828125,0.0,9.660789489746094,227.0,0.0,0.0003,98,112896,,
